# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.6914226918942518e+01  2.2572130191828372e-02  9.5132374493359571e+00  7.7033895141789058e-02  3.0894765002038504e+01  3.2000044711618699e+01  3.2000044523569265e+01  4.7999999999999998e+00  3.6691753649929737e+01  9.5318466529106587e+00  7.2969611554069863e-02  5.0451502948500888e+00  5.5929577357815763e-01  5.4268733672611180e+00  4.5500413912732290e-01  4.3088374942404206e-01  9.7692540883722256e-01
4.0000000000000002e-01  3.6922035805946528e+01  2.2573273701447603e-02  9.5131176179275254e+00  7.7089150510347274e-02  3.0893763004704510e+01  3.2000048122853386e+01  3.2000047975364360e+01  4.7999999999999998e+00  3.6699118929766470e+01  9.5317878680995740e+00  7.2979815705794995e-02  5.0453455122319824e+00  5.5912446006390215e-01  5.4267516898240249e+00  4.5503594790780899e-01  4.3081963633493114e-01  9.7688410767794276e-01
8.0000000000000004e-01  3.6929805259965775e+01  2.2569497617104951e-02  9.5128275694821856e+00  7.7121684518793601e-02  3.0891133998847689e+01  3.2000056849879378e+01  3.2000056805286768e+01  4.7999999999999998e+00  3.6705737955198217e+01  9.5316565975170011e+00  7.3002857017226974e-02  5.0458874985770432e+00  5.5893524169554731e-01  5.4264876414336403e+00  4.5505545074735176e-01  4.3065143755987723e-01  9.7675938518542704e-01
1.2000000000000000e+00  3.6936988294559619e+01  2.2565438711107000e-02  9.5124888138334907e+00  7.6888674269678214e-02  3.0887826154401104e+01  3.2000067889645607e+01  3.2000067994387848e+01  4.7999999999999998e+00  3.6711232256013318e+01  9.5315481252035745e+00  7.3030806149742847e-02  5.0465818550100678e+00  5.5878034427585344e-01  5.4262487299306326e+00  4.5502591710879070e-01  4.3043983743722791e-01  9.7655282133650534e-01
1.6000000000000001e+00  3.6944211537821872e+01  2.2563285962687574e-02  9.5121884864732316e+00  7.6929156353929967e-02  3.0884777125470574e+01  3.2000078822240781e+01  3.2000079111985407e+01  4.7999999999999998e+00  3.6716393667405306e+01  9.5315264064998946e+00  7.3050778158321700e-02  5.0471949210487077e+00  5.5869710178988430e-01  5.4261290024894633e+00  4.5493417574889572e-01  4.3024478003876387e-01  9.7626715124255470e-01
2.0000000000000000e+00  3.6952309337809993e+01  2.2559470163903552e-02  9.5119520675734872e+00  7.6963781699241673e-02  3.0882466789572575e+01  3.2000089139095969e+01  3.2000089644238329e+01  4.7999999999999998e+00  3.6722166588542365e+01  9.5316009634327958e+00  7.3070606243521963e-02  5.0476248743129659e+00  5.5869003267771389e-01  5.4261066351941745e+00  4.5479166128777648e-01  4.3009685938353087e-01  9.7592611113831607e-01
2.3999999999999901e+00  3.6961393330971958e+01  2.2578364506062990e-02  9.5117643066366639e+00  7.6992668586178564e-02  3.0880854280298337e+01  3.2000100209000202e+01  3.2000100950217998e+01  4.7999999999999998e+00  3.6728714137037692e+01  9.5317501238342235e+00  7.3078805116368564e-02  5.0479684850616087e+00  5.5873070570153982e-01  5.4260852736068736e+00  4.5462736810171095e-01  4.2999340465178099e-01  9.7556365833141323e-01
2.7999999999999798e+00  3.6970890609843259e+01  2.2598247547939040e-02  9.5116128781468650e+00  7.7019455046876753e-02  3.0879687909437276e+01  3.2000113924383804e+01  3.2000114898577245e+01  4.7999999999999998e+00  3.6735495913404819e+01  9.5319587353739443e+00  7.3084203263602154e-02  5.0484403397018012e+00  5.5876973233741045e-01  5.4259688063146392e+00  4.5447401003926657e-01  4.2991841061060782e-01  9.7485335794555339e-01
3.1999999999999802e+00  3.6980284698560581e+01  2.2634726679906084e-02  9.5115129432665633e+00  7.7047715215513929e-02  3.0878852608911348e+01  3.2000130738263451e+01  3.2000131916642921e+01  4.7999999999999998e+00  3.6742045273769051e+01  9.5322344818940259e+00  7.3099137260662930e-02  5.0492233572662437e+00  5.5876049394983152e-01  5.4257100898843369e+00  4.5434998849316488e-01  4.2986477744228607e-01  9.7408770119998378e-01
3.5999999999999699e+00  3.6989806154530747e+01  2.2672959594893433e-02  9.5114923122188610e+00  7.7078153623847331e-02  3.0878447743269763e+01  3.2000149260257494e+01  3.2000150606413797e+01  4.7999999999999998e+00  3.6748666901671960e+01  9.5325907454658640e+00  7.2042602325635377e-02  5.0503661049535014e+00  5.5868521263051585e-01  5.4253125413196015e+00  4.5424994538511471e-01  4.2983904877773865e-01  9.7325511125952335e-01
3.9999999999999600e+00  3.7000409569488760e+01  2.2653120212033698e-02  9.5115545681228451e+00  7.7109048692600241e-02  3.0878561385660351e+01  3.2000168124816170e+01  3.2000169616944078e+01  4.7999999999999998e+00  3.6756387907192888e+01  9.5330157477613806e+00  7.2052800289454058e-02  5.0517877670776610e+00  5.5856396313434542e-01  5.4248097700827813e+00  4.5415159271153399e-01  4.2984650389753576e-01  9.7235587223192088e-01
4.3999999999999497e+00  3.7013048280525787e+01  2.2589523610916824e-02  9.5116561064041214e+00  7.7139538031050447e-02  3.0878960972357657e+01  3.2000188299822334e+01  3.2000189938350928e+01  4.7999999999999998e+00  3.6766194851831763e+01  9.5334586956414018e+00  7.2063688051291167e-02  5.0533615084145547e+00  5.5843857122714224e-01  5.4242619709865494e+00  4.5402947618663814e-01  4.2987100812110562e-01  9.7216354058242949e-01
4.7999999999999403e+00  3.7027932411210507e+01  2.2597618455839668e-02  9.5117198912133478e+00  7.7172145462077749e-02  3.0879015916445326e+01  3.2000213792795144e+01  3.2000215590713204e+01  4.7999999999999998e+00  3.6778281150836733e+01  9.5338467429659204e+00  7.2537295414665165e-02  5.0549826981955270e+00  5.5834726532182111e-01  5.4237776563260161e+00  4.5386271594296129e-01  4.2987012761169946e-01  9.7258322008484432e-01
5.1999999999999300e+00  3.7044489203095090e+01  2.2605919081297009e-02  9.5116757893928607e+00  7.7211416698250893e-02  3.0877969973142836e+01  3.2000250228361736e+01  3.2000252196902828e+01  4.7999999999999998e+00  3.6792043907775877e+01  9.5341184835427377e+00  7.2559109567748442e-02  5.0565599004289616e+00  5.5831144807312838e-01  5.4235291640873600e+00  4.5363518350430942e-01  4.2979312237524309e-01  9.7311408105849906e-01
5.5999999999999304e+00  3.7061978372417919e+01  2.2610252261046071e-02  9.5115002013145542e+00  7.7858346332499398e-02  3.0875366618958157e+01  3.2000302281844661e+01  3.2000304421113341e+01  4.7999999999999998e+00  3.6806753309479248e+01  9.5342521985140305e+00  7.2591194458418232e-02  5.0579696875407256e+00  5.5833760812708266e-01  5.4237300134002551e+00  4.5333434196795158e-01  4.2960903759518410e-01  9.7363451441835847e-01
5.9999999999999201e+00  3.7080210739396421e+01  2.2658461107735239e-02  9.5112317239382662e+00  7.7912268194503392e-02  3.0871323406180281e+01  3.2000371609727132e+01  3.2000373904604707e+01  4.7999999999999998e+00  3.6822299902944813e+01  9.5342746813725050e+00  7.2631654813651345e-02  5.0590518353994725e+00  5.5842420771259871e-01  5.4245714380061019e+00  4.5295418146881622e-01  4.2932502503257824e-01  9.7403471655957885e-01
6.3999999999999098e+00  3.7099708570702006e+01  2.2665512694874719e-02  9.5109601155215131e+00  7.7954234089541247e-02  3.0866463362005888e+01  3.2000456502184704e+01  3.2000458922534975e+01  4.7999999999999998e+00  3.6839346001099941e+01  9.5342538380729351e+00  7.2214965062091241e-02  5.0596926807381974e+00  5.5856101912839651e-01  5.4261532210729442e+00  4.5250099680161193e-01  4.2898223916297584e-01  9.7429316499707452e-01
6.7999999999999003e+00  3.7121167280101766e+01  2.2639167628067846e-02  9.5108033363543516e+00  7.8273403090890981e-02  3.0861585432272260e+01  3.2000553479828604e+01  3.2000555985878506e+01  4.7999999999999998e+00  3.6858753336801300e+01  9.5342875812468986e+00  7.2252647694290614e-02  5.0599488919762505e+00  5.5872211748524137e-01  5.4284602384017973e+00  4.5199461107946637e-01  4.2863435381650999e-01  9.7444396652682386e-01
7.1999999999998900e+00  3.7144808705160827e+01  2.2601623801242941e-02  9.5108842415897588e+00  7.8300850217313034e-02  3.0857313505463388e+01  3.2000660100865645e+01  3.2000662652779361e+01  4.7999999999999998e+00  3.6880884437097762e+01  9.5344922536750953e+00  7.2674807419955426e-02  5.0601077188741863e+00  5.5886539902630172e-01  5.4314002231019307e+00  4.5146128203197733e-01  4.2832411922127073e-01  9.7451877133525600e-01
7.5999999999998797e+00  3.7170250424137322e+01  2.2563814118288204e-02  9.5113143794856931e+00  7.8314691946377232e-02  3.0853925632505419e+01  3.2000777353350699e+01  3.2000779920543764e+01  4.7999999999999998e+00  3.6905415150123154e+01  9.5349898171651510e+00  7.3350544700554743e-02  5.0606200220295561e+00  5.5894712138264957e-01  5.4348862061696526e+00  4.5092108366270228e-01  4.2807121417362981e-01  9.7456430213475453e-01
7.9999999999998703e+00  3.7196990889209452e+01  2.2529531750853538e-02  9.5121824864312963e+00  7.8397355017317316e-02  3.0851377930655694e+01  3.2000910155542108e+01  3.2000912721571737e+01  4.7999999999999998e+00  3.6931790524892435e+01  9.5358905074472347e+00  7.3359145729365541e-02  5.0619315847621031e+00  5.5894479553790222e-01  5.4389263220740585e+00  4.5037957102049769e-01  4.2787276500388971e-01  9.7459182672511857e-01
