# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -5.2219295424962226e-05  1.3038868887882148e-06  1.5216227589811158e-05  5.6587410123768287e-07
4.0000000000000002e-01  -5.2701509621618393e-05  -3.4357478601720323e-07  -3.7651008218547034e-05  -1.6637965386711953e-06
8.0000000000000004e-01  -4.3859052398667302e-05  2.0611525987366832e-07  -4.6780179933240172e-05  -6.7770932188655362e-07
1.2000000000000000e+00  -4.5705220187138877e-05  -5.0975960139997051e-07  -4.2170289633860377e-05  -6.5126690625165606e-07
1.6000000000000001e+00  -4.5641190005095972e-05  2.6160484493473406e-07  -4.3053092157580283e-05  -1.4894946614269963e-07
2.0000000000000000e+00  -4.3200907595893493e-05  -1.4551100784125696e-07  -4.2102877478426106e-05  -2.8560796766614976e-07
2.3999999999999901e+00  -4.5117224189025195e-05  -4.6846094156585160e-07  -4.1891780719068545e-05  -7.3609631627880186e-08
2.7999999999999798e+00  -4.9126140597819191e-05  2.6785274775663973e-07  -4.1644232600746183e-05  1.7240573894917865e-09
3.1999999999999802e+00  -4.9037015284643144e-05  1.3262147956403659e-07  -4.1339313331989442e-05  -1.9202097008638452e-07
3.5999999999999699e+00  -4.8419120922038541e-05  -5.6356655557066887e-07  -4.0904311641702678e-05  -1.4474070602827944e-07
3.9999999999999600e+00  -5.0054441117130486e-05  -2.6618957875570160e-07  -4.0654285260320256e-05  -1.3925277294287798e-07
4.3999999999999497e+00  -5.1986322277250723e-05  -1.3247054810238913e-07  -4.0908138829001919e-05  2.5873061110121581e-08
4.7999999999999403e+00  -5.4475174159205282e-05  3.4245074050192688e-08  -4.1183837499833043e-05  5.4783032701725562e-08
5.1999999999999300e+00  -5.6934587635635451e-05  1.0141377027813679e-07  -4.1516449067766371e-05  -1.8630320259204076e-07
5.5999999999999304e+00  -5.8559602785643719e-05  -1.0477530378029376e-07  -4.1445694331701252e-05  -1.5044566613772473e-07
5.9999999999999201e+00  -5.9496609468325608e-05  -1.2901356274307640e-07  -4.1123384130747331e-05  -5.3291701001517406e-08
6.3999999999999098e+00  -6.0704178020957181e-05  -1.0441399220988984e-07  -4.0703380621861821e-05  -1.2538709154233833e-07
6.7999999999999003e+00  -6.2914531712992674e-05  -9.5422581329184461e-08  -4.0625644530579446e-05  -3.1208068645711062e-08
7.1999999999998900e+00  -6.5215378450314535e-05  -1.5054690429631497e-07  -4.1040735136595166e-05  5.1643020020366855e-08
7.5999999999998797e+00  -6.6850698369565274e-05  -2.1863547262022319e-07  -4.0865267887572804e-05  -1.0894274078477545e-07
7.9999999999998703e+00  -6.8066023770217791e-05  8.3279898756442180e-10  -4.0173536753834098e-05  -9.7102830998559927e-08
8.3999999999998707e+00  -6.8570811241676255e-05  4.3488522860552400e-08  -3.9911180976059894e-05  3.4720832984412410e-08
8.7999999999998604e+00  -6.8047474488081754e-05  -2.5053062252963794e-07  -3.9552183757683464e-05  -6.9531116948469735e-08
9.1999999999998501e+00  -6.7310268595539477e-05  -2.0996443921365958e-07  -3.8530621656713979e-05  -1.9178030199220277e-07
9.5999999999998398e+00  -6.6679916113119924e-05  4.0863941124885756e-08  -3.7511205033590021e-05  -1.3746722330205932e-07
9.9999999999998295e+00  -6.5067549185994890e-05  -5.6883797090238470e-09  -3.6772281081751434e-05  -7.9101376094468660e-09
1.0399999999999800e+01  -6.2089866629518590e-05  -1.2823536871290705e-07  -3.5933548073222212e-05  9.2228571792577335e-08
1.0799999999999800e+01  -5.8765279477228521e-05  -1.2029573256610993e-07  -3.5092778390973959e-05  4.0286948299872472e-08
1.1199999999999800e+01  -5.5521792205633598e-05  -1.2756649665962317e-07  -3.4301294380300195e-05  -1.3933900134483855e-07
1.1599999999999801e+01  -5.1658748358964694e-05  -1.2318411204818485e-07  -3.3193292829469723e-05  -2.0811759904290472e-07
1.1999999999999799e+01  -4.6903534930206204e-05  -4.2386882919004135e-08  -3.2011106574795059e-05  -8.9182181456029177e-08
1.2399999999999800e+01  -4.1703724541906998e-05  -7.9766892749098397e-10  -3.1252352839876950e-05  1.3345344434629859e-08
1.2799999999999800e+01  -3.6024206157438850e-05  -5.8529800947985349e-08  -3.0714815964358896e-05  -1.4413492520311636e-08
1.3199999999999800e+01  -2.9458909772274071e-05  -1.4361448336991571e-07  -3.0084015439689151e-05  -1.5782964809928833e-08
1.3599999999999801e+01  -2.2298889302872298e-05  -2.0916502025144745e-07  -2.9294901102540818e-05  8.1572474112648271e-08
1.3999999999999700e+01  -1.4962253470914217e-05  -2.2757737429109646e-07  -2.8101531396960154e-05  6.5059686415512331e-08
1.4399999999999700e+01  -6.9876379898239474e-06  -1.2104156318741185e-07  -2.6444339668076028e-05  -1.0562251388196938e-07
1.4799999999999701e+01  2.1618510612126585e-06  5.5383377239631634e-08  -2.4740420495702050e-05  -1.3297161476568537e-07
1.5199999999999701e+01  1.2342059273587630e-05  8.7431855429373536e-08  -2.3023670991364484e-05  2.8046069693208082e-08
1.5599999999999699e+01  2.3373727766742091e-05  -4.4083135390686375e-08  -2.0702662674276258e-05  7.9299844502432090e-08
1.5999999999999700e+01  3.5329543875236426e-05  -1.3146805409483284e-07  -1.7563558169263445e-05  -2.1291906666590133e-08
1.6399999999999800e+01  4.8206096326408810e-05  -9.4841487835516014e-08  -1.4007247242715708e-05  -4.9963576756160242e-08
1.6799999999999802e+01  6.2097698933853555e-05  -3.8686859624297189e-08  -1.0271462391324062e-05  1.5722700585881134e-08
1.7199999999999900e+01  7.7401537224840473e-05  -3.1646636079533874e-08  -6.1291364889306280e-06  4.3158434246780992e-08
1.7600000000000001e+01  9.4506827617718586e-05  -4.6469026480475183e-08  -1.2434319262153308e-06  3.0768804368118513e-08
1.8000000000000000e+01  1.1352980464514006e-04  -5.0390756697053806e-08  4.4270731171169584e-06  3.7875017062185343e-08
1.8400000000000102e+01  1.3438770561758397e-04  -4.3042601159550625e-08  1.0528699895419078e-05  4.9747513179064893e-08
1.8800000000000100e+01  1.5696852219902394e-04  -2.9685879535734393e-08  1.6615286042534429e-05  3.2068554271862574e-08
1.9200000000000198e+01  1.8125094043471690e-04  -9.8103990564628172e-09  2.2474105767338039e-05  -1.7383431001277080e-08
1.9600000000000300e+01  2.0733499080449096e-04  8.9012831948067011e-09  2.8189602778897431e-05  -4.4490745115315859e-08
2.0000000000000298e+01  2.3538274262028803e-04  9.1044036067437087e-09  3.3978175925000654e-05  2.3816773488676870e-08
2.0400000000000400e+01  2.6554790315717555e-04  -1.6586893421970397e-08  3.9858015433319435e-05  1.2701473670437428e-07
2.0800000000000502e+01  2.9794613311414758e-04  -4.9952004593659040e-08  4.5564254480929831e-05  1.0991859085697911e-07
2.1200000000000500e+01  3.3265697486802839e-04  -5.9213030523463230e-08  5.0852486597168951e-05  -2.3215201016765351e-08
2.1600000000000598e+01  3.6974892653953762e-04  -3.1023079670121826e-08  5.5651335612202864e-05  -1.0469591017368857e-07
2.2000000000000600e+01  4.0930868654951672e-04  1.4631030783592664e-08  5.9947532869843764e-05  -5.2248583714763938e-08
2.2400000000000698e+01  4.5144240435993858e-04  4.5258830829133620e-08  6.3798540255780218e-05  5.6662922380771582e-08
2.2800000000000800e+01  4.9625414636046607e-04  4.6506483243789011e-08  6.7422021051652994e-05  1.2550722117918913e-07
2.3200000000000799e+01  5.4383620688443451e-04  2.9957859481035358e-08  7.1100805417180073e-05  1.3433786100806941e-07
2.3600000000000900e+01  5.9428065413508137e-04  1.7243178503106391e-08  7.5008738173284174e-05  1.1153218373870217e-07
2.4000000000000998e+01  6.4769232290905806e-04  2.1303460192396298e-08  7.9159109739025544e-05  8.0701522693231818e-08
2.4400000000001000e+01  7.0418769768204516e-04  3.9822318894078732e-08  8.3493033528522157e-05  5.2614375746218961e-08
2.4800000000001098e+01  7.6388132008299288e-04  6.1119864098797278e-08  8.8023893713671056e-05  4.0152402085765028e-08
2.5200000000001101e+01  8.2687497420019524e-04  7.4650100874253346e-08  9.2915638436959387e-05  5.4769801384083198e-08
2.5600000000001199e+01  8.9326621400370406e-04  7.7912616686608878e-08  9.8406488688764253e-05  8.9963873008294266e-08
