# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  2.8927644706181217e-03  3.0448170701796108e-03  1  1.0284987432909587e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.2142081388373345e-04  0.0000000000000000e+00  0
4.0000000000000002e-01  2.9164050089707902e-03  3.0624341780253559e-03  1  1.0283994691717713e+00  0.0000000000000000e+00  1.6453053857689169e-05  nan  1  5  5  1.1965101396370248e-04  0.0000000000000000e+00  0
8.0000000000000004e-01  2.9821041745935074e-03  3.0987742739985165e-03  1  1.0280989515641707e+00  0.0000000000000000e+00  7.4613101984257856e-05  nan  1  5  5  1.1571165410780098e-04  0.0000000000000000e+00  0
1.2000000000000000e+00  3.0444110874803774e-03  3.1344567922215239e-03  1  1.0275980397926674e+00  0.0000000000000000e+00  1.2942774431830227e-04  nan  1  5  5  1.1895692204382363e-04  0.0000000000000000e+00  0
1.6000000000000001e+00  3.0588192510038123e-03  3.1568102879230156e-03  1  1.0269084525243826e+00  0.0000000000000000e+00  2.1389006771481105e-04  nan  1  5  5  1.1962209755288173e-04  0.0000000000000000e+00  0
2.0000000000000000e+00  3.0147420053389415e-03  3.1986813995504228e-03  1  1.0260390649540954e+00  0.0000000000000000e+00  3.7657223763080104e-04  nan  1  5  5  1.2319405214490504e-04  0.0000000000000000e+00  0
2.3999999999999901e+00  2.9323428682029935e-03  3.2452313528103572e-03  1  1.0250564437972658e+00  0.0000000000000000e+00  5.4921052788762788e-04  nan  1  5  5  1.2906630048901618e-04  0.0000000000000000e+00  0
2.7999999999999798e+00  2.8397997564303130e-03  3.2247488097725259e-03  1  1.0238010204825116e+00  0.0000000000000000e+00  7.1321007126287444e-04  nan  1  5  5  1.2304340909403830e-04  0.0000000000000000e+00  0
3.1999999999999802e+00  2.7598625751751719e-03  3.1921155999106408e-03  1  1.0225552892664511e+00  0.0000000000000000e+00  8.5096358814424830e-04  nan  1  5  5  1.0515487983743865e-04  0.0000000000000000e+00  0
3.5999999999999699e+00  2.7076614397087500e-03  3.1249102519675322e-03  1  1.0210497260284239e+00  0.0000000000000000e+00  9.4087268099735089e-04  nan  1  5  5  7.8955768364465551e-05  0.0000000000000000e+00  0
3.9999999999999600e+00  2.6908213649502019e-03  2.9598150980452644e-03  1  1.0191555754902861e+00  0.0000000000000000e+00  9.4463284911549357e-04  nan  1  5  5  6.7643259012991071e-05  0.0000000000000000e+00  0
4.3999999999999497e+00  2.7127981883382666e-03  2.7647832090268070e-03  1  1.0179917005274759e+00  0.0000000000000000e+00  1.0866360481286159e-03  nan  1  5  5  5.5405461962252444e-05  0.0000000000000000e+00  0
4.7999999999999403e+00  2.7753418166943772e-03  2.5522715596564762e-03  1  1.0172124116211450e+00  0.0000000000000000e+00  1.3293993652078975e-03  nan  1  5  5  5.4805145506816714e-05  0.0000000000000000e+00  0
5.1999999999999300e+00  2.8762143352784302e-03  2.3652725618005118e-03  1  1.0169207796732285e+00  0.0000000000000000e+00  1.5994107671245964e-03  nan  1  5  5  5.5668516092936890e-05  0.0000000000000000e+00  0
5.5999999999999304e+00  3.0119428032838852e-03  2.2460619585080222e-03  1  1.0170315878257696e+00  0.0000000000000000e+00  1.8986746045225728e-03  nan  1  5  5  5.1003181238296526e-05  0.0000000000000000e+00  0
5.9999999999999201e+00  3.1892385626429830e-03  2.1948114224575503e-03  1  1.0176460785670678e+00  0.0000000000000000e+00  2.2410590556636843e-03  nan  1  5  5  5.7732206980300021e-05  0.0000000000000000e+00  0
6.3999999999999098e+00  3.4276067441343372e-03  2.2088156692717177e-03  1  1.0186948684178054e+00  0.0000000000000000e+00  2.6318287359004436e-03  nan  1  5  5  6.4204464499221920e-05  0.0000000000000000e+00  0
6.7999999999999003e+00  3.7437667534309933e-03  2.2973157738517512e-03  1  1.0199592216636224e+00  0.0000000000000000e+00  3.0551279661695414e-03  nan  1  5  5  6.9877073527204353e-05  0.0000000000000000e+00  0
7.1999999999998900e+00  4.1349801651598510e-03  2.4572875729832340e-03  1  1.0211855124536438e+00  0.0000000000000000e+00  3.5021520935524420e-03  nan  1  5  5  7.5460443686891818e-05  0.0000000000000000e+00  0
7.5999999999998797e+00  4.5801256333945391e-03  2.6662392109068189e-03  1  1.0224746367962629e+00  0.0000000000000000e+00  4.0086241544431281e-03  nan  1  5  5  8.1431673794034144e-05  0.0000000000000000e+00  0
7.9999999999998703e+00  5.0547075468341113e-03  2.9002000418819492e-03  1  1.0238438874489268e+00  0.0000000000000000e+00  4.6059666237567324e-03  nan  1  5  5  8.6405962495040453e-05  0.0000000000000000e+00  0
8.3999999999998707e+00  5.5429631441039394e-03  3.1454459628269902e-03  1  1.0252644527825103e+00  0.0000000000000000e+00  5.2638680478485763e-03  nan  1  5  5  9.3754009825063530e-05  0.0000000000000000e+00  0
8.7999999999998604e+00  6.0394175092158813e-03  3.3947511178470755e-03  1  1.0267598700497160e+00  0.0000000000000000e+00  5.8565462229058238e-03  nan  1  5  5  1.0449240630009563e-04  0.0000000000000000e+00  0
9.1999999999998501e+00  6.5439188318009503e-03  3.6430005943671119e-03  1  1.0282801762013027e+00  0.0000000000000000e+00  6.4013498875296684e-03  nan  1  5  5  1.1574532468003206e-04  0.0000000000000000e+00  0
9.5999999999998398e+00  7.0561697135319073e-03  3.8877113050459237e-03  1  1.0297855059940588e+00  0.0000000000000000e+00  6.9399415931189670e-03  nan  1  5  5  1.2581761250960954e-04  0.0000000000000000e+00  0
9.9999999999998295e+00  7.5737019031047546e-03  4.1288725468865044e-03  1  1.0312336166851495e+00  0.0000000000000000e+00  7.4663523766629551e-03  nan  1  5  5  1.3354521694498798e-04  0.0000000000000000e+00  0
1.0399999999999800e+01  8.0936931865565956e-03  4.3681375375925749e-03  1  1.0326831224379593e+00  0.0000000000000000e+00  7.9770882097157970e-03  nan  1  5  5  1.4259587805549558e-04  0.0000000000000000e+00  0
1.0799999999999800e+01  8.6149330627391472e-03  4.6079940674830719e-03  1  1.0341514118403008e+00  0.0000000000000000e+00  8.4979000022885574e-03  nan  1  5  5  1.5282132926932527e-04  0.0000000000000000e+00  0
1.1199999999999800e+01  9.1368871529614384e-03  4.8510452384715238e-03  1  1.0356328606876077e+00  0.0000000000000000e+00  9.0331191203908978e-03  nan  1  5  5  1.6279785196031472e-04  0.0000000000000000e+00  0
1.1599999999999801e+01  9.6577942446078348e-03  5.0996409289213070e-03  1  1.0371227369241556e+00  0.0000000000000000e+00  9.5706652156644246e-03  nan  1  5  5  1.7092797457149081e-04  0.0000000000000000e+00  0
1.1999999999999799e+01  1.0175236038494285e-02  5.3550665524040551e-03  1  1.0386831807559431e+00  0.0000000000000000e+00  1.0114128199463446e-02  nan  1  5  5  1.7844890895504136e-04  0.0000000000000000e+00  0
1.2399999999999800e+01  1.0688397443821053e-02  5.6177986832322488e-03  1  1.0403227635024590e+00  0.0000000000000000e+00  1.0671427388096805e-02  nan  1  5  5  1.8617749018771325e-04  0.0000000000000000e+00  0
1.2799999999999800e+01  1.1198571791255213e-02  5.8868597712611074e-03  1  1.0420370078264451e+00  0.0000000000000000e+00  1.1252130532853111e-02  nan  1  5  5  1.9435229673851569e-04  0.0000000000000000e+00  0
1.3199999999999800e+01  1.1707446355777603e-02  6.1599592857314919e-03  1  1.0438204628591041e+00  0.0000000000000000e+00  1.1849310297934729e-02  nan  1  5  5  2.0282699476250240e-04  0.0000000000000000e+00  0
1.3599999999999801e+01  1.2215803046665636e-02  6.4330109170939046e-03  1  1.0456616336028159e+00  0.0000000000000000e+00  1.2441414040893439e-02  nan  1  5  5  2.1181754496944787e-04  0.0000000000000000e+00  0
1.3999999999999700e+01  1.2723910533857123e-02  6.7033546980918863e-03  1  1.0475472418943179e+00  0.0000000000000000e+00  1.3028856289885499e-02  nan  1  5  5  2.2135524632353599e-04  0.0000000000000000e+00  0
1.4399999999999700e+01  1.3232277812989536e-02  6.9677065608998558e-03  1  1.0494647854516157e+00  0.0000000000000000e+00  1.3613155988108239e-02  nan  1  5  5  2.3028785098098598e-04  0.0000000000000000e+00  0
1.4799999999999701e+01  1.3741496363926542e-02  7.2242978097538891e-03  1  1.0514042878788128e+00  3.6029333616749919e-02  1.4195579391709758e-02  nan  1  5  5  2.3983901918922082e-04  0.0000000000000000e+00  0
1.5199999999999701e+01  1.4251560988030366e-02  7.4717504810152382e-03  1  1.0533685087452047e+00  7.8435540440004253e-02  1.4776519655263160e-02  nan  1  5  5  2.4986025363424330e-04  0.0000000000000000e+00  0
1.5599999999999699e+01  1.4761656955824157e-02  7.7089211160995402e-03  1  1.0553425532184975e+00  1.2179827824423424e-01  1.5355896993578181e-02  nan  1  5  5  2.6089741244279038e-04  0.0000000000000000e+00  0
1.5999999999999700e+01  1.5270575310548878e-02  7.9351209514556646e-03  1  1.0573260984774733e+00  1.6186629822510362e-01  1.5948833386889957e-02  nan  1  5  5  2.7279376747579148e-04  0.0000000000000000e+00  0
1.6399999999999800e+01  1.5777136080910290e-02  8.1508023436538384e-03  1  1.0593239518591184e+00  1.8939313423318099e-01  1.6540632259749041e-02  nan  1  5  5  2.8450076839649859e-04  0.0000000000000000e+00  0
1.6799999999999802e+01  1.6280229485756543e-02  8.3554519266248999e-03  1  1.0613433163697197e+00  2.2063981294505261e-01  1.7128614572234909e-02  nan  1  5  5  2.9596188987153602e-04  0.0000000000000000e+00  0
1.7199999999999900e+01  1.6778738792977952e-02  8.5490859288013983e-03  1  1.0633905834926278e+00  2.4327771282814326e-01  1.7710302271286449e-02  nan  1  5  5  3.0730584888745839e-04  0.0000000000000000e+00  0
1.7600000000000001e+01  1.7271668280180452e-02  8.7319822830400611e-03  1  1.0654681166296096e+00  2.6060155170581356e-01  1.8283954198489660e-02  nan  1  5  5  3.1692807200507482e-04  0.0000000000000000e+00  0
1.8000000000000000e+01  1.7758336239091115e-02  8.9025793370050496e-03  1  1.0675735244419866e+00  2.7835051546391754e-01  1.8849285698956698e-02  nan  1  5  5  3.2658922339037029e-04  0.0000000000000000e+00  0
1.8400000000000102e+01  1.8238316106773938e-02  9.0591567054566606e-03  1  1.0697019317228915e+00  2.9344244871931130e-01  1.9407301334036956e-02  nan  1  5  5  3.3644706856976393e-04  0.0000000000000000e+00  0
1.8800000000000100e+01  1.8711130621293190e-02  9.2011191769777075e-03  1  1.0718489222085572e+00  3.0694016367307897e-01  1.9959490606576303e-02  nan  1  5  5  3.4660470968875316e-04  0.0000000000000000e+00  0
1.9200000000000198e+01  1.9176015230016597e-02  9.3290910078958050e-03  1  1.0740116672720206e+00  3.2213837814858115e-01  2.0507131520966830e-02  nan  1  5  5  3.5813070434131478e-04  0.0000000000000000e+00  0
1.9600000000000300e+01  1.9631993960943190e-02  9.4434683183844074e-03  1  1.0761882051176479e+00  3.3563609310234882e-01  2.1051091313388809e-02  nan  1  5  5  3.7099254397648636e-04  0.0000000000000000e+00  0
2.0000000000000298e+01  2.0078173369395064e-02  9.5452593221076760e-03  1  1.0783766011339557e+00  3.4498884047188860e-01  2.1591953657292794e-02  nan  1  5  5  3.8405472848210010e-04  0.0000000000000000e+00  0
2.0400000000000400e+01  2.0513932092155344e-02  9.6343781592697925e-03  1  1.0805750339959912e+00  3.5774258688489746e-01  2.2130087309116520e-02  nan  1  5  5  3.9714039054025572e-04  0.0000000000000000e+00  0
2.0800000000000502e+01  2.0938849517490671e-02  9.7106391042257705e-03  1  1.0827822445316777e+00  3.7049633329790627e-01  2.2665474761228363e-02  nan  1  5  5  4.1198262068907330e-04  0.0000000000000000e+00  0
2.1200000000000500e+01  2.1352607417028595e-02  9.7733993331404617e-03  1  1.0849972986651262e+00  3.7931767456690402e-01  2.3197538740438940e-02  nan  1  5  5  4.2295796533990161e-04  0.0000000000000000e+00  0
2.1600000000000598e+01  2.1755160301844378e-02  9.8206631873693547e-03  1  1.0872249939363221e+00  3.8665107875438409e-01  2.3725359387660926e-02  nan  1  5  5  4.3396184768670123e-04  0.0000000000000000e+00  0
2.2000000000000600e+01  2.2147042477687166e-02  9.8500061065249275e-03  1  1.0894815312292792e+00  3.9855457540652567e-01  2.4248257653756204e-02  nan  1  5  5  4.4514225296058671e-04  0.0000000000000000e+00  0
2.2400000000000698e+01  2.2529364958669446e-02  9.8587671111259739e-03  1  1.0917381544511759e+00  4.0726963545541500e-01  2.4766216959478088e-02  nan  1  5  5  4.5666603949674018e-04  0.0000000000000000e+00  0
2.2800000000000800e+01  2.2903366514560528e-02  9.8440072173577847e-03  1  1.0939882505031362e+00  4.1874800722712296e-01  2.5279737094020132e-02  nan  1  5  5  4.6866499280870177e-04  0.0000000000000000e+00  0
2.3200000000000799e+01  2.3269923997462718e-02  9.8049435179343222e-03  1  1.0962268777907909e+00  4.2799447337655439e-01  2.5799769373704321e-02  nan  1  5  5  4.8117306615090907e-04  0.0000000000000000e+00  0
2.3600000000000900e+01  2.3629462067600502e-02  9.7415108991467155e-03  1  1.0984525340842919e+00  4.3490275268360079e-01  2.6328118761818085e-02  nan  1  5  5  4.9442369055182950e-04  0.0000000000000000e+00  0
2.4000000000000998e+01  2.3982217172525695e-02  9.6558378038216434e-03  1  1.1006677903879354e+00  4.4287384419173131e-01  2.6856175547196565e-02  nan  1  5  5  5.0967034828622879e-04  0.0000000000000000e+00  0
2.4400000000001000e+01  2.4328461073421036e-02  9.5513205655088172e-03  1  1.1028785798492846e+00  4.4988840471888619e-01  2.7383024308208243e-02  nan  1  5  5  5.2503899951483312e-04  0.0000000000000000e+00  0
2.4800000000001098e+01  2.4668458641706876e-02  9.4319208880249625e-03  1  1.1050924130578674e+00  4.5732809012647463e-01  2.7907299060608005e-02  nan  1  5  5  5.4030371531747019e-04  0.0000000000000000e+00  0
2.5200000000001101e+01  2.5002312371430049e-02  9.3005552576692126e-03  1  1.1073160958920516e+00  4.6976299287915824e-01  2.8427625650053055e-02  nan  1  5  5  5.5532939272432075e-04  0.0000000000000000e+00  0
2.5600000000001199e+01  2.5329949888370010e-02  9.1590077650516282e-03  1  1.1095535921241781e+00  4.7592730364544583e-01  2.8943068887880754e-02  nan  1  5  5  5.7009952468917646e-04  0.0000000000000000e+00  0
2.6000000000001300e+01  2.5651290691378885e-02  9.0076336239149520e-03  1  1.1118046097576377e+00  4.8357955149325116e-01  2.9453526483511887e-02  nan  1  5  5  5.8471904733630668e-04  0.0000000000000000e+00  0
2.6400000000001299e+01  2.5966414890546016e-02  8.8445840533900449e-03  1  1.1140643946627211e+00  4.8857476883834627e-01  2.9959949037177563e-02  nan  1  5  5  5.9939895168501997e-04  0.0000000000000000e+00  0
2.6800000000001400e+01  2.6275581793576353e-02  8.6670348720388150e-03  1  1.1163250167656409e+00  4.9314486130300778e-01  3.0464252650934002e-02  nan  1  5  5  6.1440424155352082e-04  0.0000000000000000e+00  0
2.7200000000001499e+01  2.6579110398618308e-02  8.4711488116922459e-03  1  1.1185779369537938e+00  4.9473907960463387e-01  3.0968898962621831e-02  nan  1  5  5  6.2998936372117521e-04  0.0000000000000000e+00  0
2.7600000000001501e+01  2.6877227483890438e-02  8.2532283068026385e-03  1  1.1208168737950066e+00  5.0132851525135513e-01  3.1476253001094974e-02  nan  1  5  5  6.4632528445421702e-04  0.0000000000000000e+00  0
2.8000000000001599e+01  2.7169958899862422e-02  8.0101354118919683e-03  1  1.1230395504899398e+00  5.0441067063449885e-01  3.1987906436075367e-02  nan  1  5  5  6.6344946885515965e-04  0.0000000000000000e+00  0
2.8400000000001601e+01  2.7457067227356833e-02  7.7399816531265033e-03  1  1.1252475099286461e+00  5.0611117015623341e-01  3.2504172603198031e-02  nan  1  5  5  6.8125323697230673e-04  0.0000000000000000e+00  0
