# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5237311082634650e-01  2.5000000000000000e-01
4.0000000000000002e-01  2.4950348936528804e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.4643801530439782e-01  2.5000000000000000e-01
1.2000000000000000e+00  2.4372773183009624e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.4202947294974364e-01  2.5000000000000000e-01
2.0000000000000000e+00  2.4070867179634917e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.3954318654051532e-01  2.5000000000000000e-01
2.7999999999999798e+00  2.3863439280375076e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.3802025726417386e-01  2.5000000000000000e-01
3.5999999999999699e+00  1.1880717788554968e-01  1.2500000000000000e-01
3.9999999999999600e+00  1.1884367604882620e-01  1.2500000000000000e-01
4.3999999999999497e+00  1.1903915643699116e-01  1.2500000000000000e-01
4.7999999999999403e+00  2.3878843109104214e-01  2.5000000000000000e-01
5.1999999999999300e+00  1.1983486104255014e-01  1.2500000000000000e-01
5.5999999999999304e+00  1.2043272528040534e-01  1.2500000000000000e-01
5.9999999999999201e+00  2.4241822631730092e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.4432794874301175e-01  2.5000000000000000e-01
6.7999999999999003e+00  2.4670192107981498e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.4940620210146361e-01  2.5000000000000000e-01
7.5999999999998797e+00  2.5201726314494094e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5407003165695413e-01  2.5000000000000000e-01
8.3999999999998707e+00  2.5531851879864864e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5578659722109748e-01  2.5000000000000000e-01
9.1999999999998501e+00  2.5573286992176053e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5550152410375043e-01  2.5000000000000000e-01
9.9999999999998295e+00  2.5531914357074131e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5523036783907743e-01  2.5000000000000000e-01
1.0799999999999800e+01  2.5519122951950740e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5520218791355148e-01  2.5000000000000000e-01
1.1599999999999801e+01  2.5528905036513772e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5541168484957882e-01  2.5000000000000000e-01
1.2399999999999800e+01  2.5551120869897631e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5556780141214885e-01  2.5000000000000000e-01
1.3199999999999800e+01  2.5560927825983526e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5568422960464110e-01  2.5000000000000000e-01
1.3999999999999700e+01  2.5578838638740092e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5588522898718813e-01  2.5000000000000000e-01
