time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.3911422400263165e-04
4.0000000000000002e-01  -1.2775677101464990e-18  1.1365794209796165e-05
8.0000000000000004e-01  -2.2980132032013585e-18  2.2527517629233426e-06
1.2000000000000000e+00  -2.8238463837081483e-18  7.8279189836675043e-07
1.6000000000000001e+00  -2.7822625727108989e-18  8.7329198373454507e-07
2.0000000000000000e+00  -2.2177023895775929e-18  8.4727636075651491e-07
2.3999999999999901e+00  -1.2393381852098819e-18  8.0879873306048456e-07
2.7999999999999798e+00  -1.0916333265874579e-20  1.0201377246651691e-06
3.1999999999999802e+00  1.2600293445557803e-18  1.1465593254986848e-06
3.5999999999999699e+00  2.3461711897995600e-18  1.0395677554735770e-06
3.9999999999999600e+00  3.0375106523994044e-18  1.2921555988966479e-06
4.3999999999999497e+00  3.1862710964414501e-18  1.6040633172040884e-06
4.7999999999999403e+00  2.7456697880727797e-18  1.7585730215286412e-06
5.1999999999999300e+00  1.7879867757026521e-18  1.9985263848900643e-06
5.5999999999999304e+00  4.9489287000860451e-19  2.2465217531670099e-06
5.9999999999999201e+00  -8.7800844723885254e-19  2.4418330696726882e-06
6.3999999999999098e+00  -2.0534561531059411e-18  2.7879499034983255e-06
6.7999999999999003e+00  -2.7894212945747283e-18  3.1403936580310125e-06
7.1999999999998900e+00  -2.9293337839806715e-18  3.0659382743907319e-06
7.5999999999998797e+00  -2.4361757167663586e-18  2.7452280412943325e-06
7.9999999999998703e+00  -1.4025921104581769e-18  2.7842912818145774e-06
8.3999999999998707e+00  -2.9605874524085532e-20  3.0749555381652969e-06
8.7999999999998604e+00  1.4256791490682196e-18  3.3210145192902116e-06
9.1999999999998501e+00  2.6925615210349246e-18  3.6112846052218625e-06
9.5999999999998398e+00  3.4624279871139998e-18  3.8944050780680552e-06
9.9999999999998295e+00  3.4524311236503182e-18  3.8975150092485187e-06
1.0399999999999800e+01  2.6835987440769561e-18  3.6555050950156696e-06
1.0799999999999800e+01  1.8082941380210435e-18  3.8059498436731624e-06
1.1199999999999800e+01  1.9061146897380676e-18  4.6969105655118721e-06
1.1599999999999801e+01  2.3834069629486705e-18  5.6844454294322524e-06
1.1999999999999799e+01  2.7257947097896639e-18  6.0200713514546188e-06
1.2399999999999800e+01  7.1829036127883736e-18  5.5341961409628853e-06
1.2799999999999800e+01  2.5297231820225334e-17  4.7926771594850286e-06
1.3199999999999800e+01  7.1992632429011375e-17  4.1735075993288013e-06
1.3599999999999801e+01  1.8369838475563784e-16  3.7853363259173612e-06
1.3999999999999700e+01  4.3595444328347604e-16  4.3881982552764875e-06
1.4399999999999700e+01  1.0548438855406700e-15  5.3632362778597053e-06
1.4799999999999701e+01  2.7154186451307329e-15  5.8610234788094689e-06
1.5199999999999701e+01  4.9903104295545274e-15  6.3931376967950058e-06
1.5599999999999699e+01  1.0092902020233164e-14  7.1611223967718989e-06
1.5999999999999700e+01  3.0315823341515700e-14  8.0550333466850578e-06
1.6399999999999800e+01  5.4163103997179654e-14  9.0454327031553251e-06
1.6799999999999802e+01  7.1235636400888672e-14  9.5954624643825159e-06
1.7199999999999900e+01  2.2626744241270138e-13  1.0386077059067859e-05
1.7600000000000001e+01  5.2897578228658607e-13  1.1981226449791089e-05
1.8000000000000000e+01  5.8078635240150788e-13  1.3655816582810937e-05
1.8400000000000102e+01  1.0693205341093465e-12  1.5329546268859918e-05
1.8800000000000100e+01  3.5970741561074615e-12  1.6520949158237461e-05
1.9200000000000198e+01  5.9800287231804462e-12  1.7602412799567859e-05
1.9600000000000300e+01  5.8823255217864412e-12  1.9710476302888687e-05
2.0000000000000298e+01  1.2809015542472305e-11  2.2484754315048934e-05
2.0400000000000400e+01  3.4457693233598050e-11  2.5844175778417252e-05
2.0800000000000502e+01  5.2666652248783995e-11  2.9622819455241604e-05
2.1200000000000500e+01  5.8681012746497377e-11  3.2216399456823221e-05
2.1600000000000598e+01  9.6166251446759283e-11  3.3193601835332789e-05
2.2000000000000600e+01  1.9512946329514609e-10  3.3232971310297211e-05
2.2400000000000698e+01  3.0010272698144847e-10  3.5043548868968101e-05
2.2800000000000800e+01  3.7485331008011204e-10  3.6293644985124364e-05
2.3200000000000799e+01  5.1485670361569497e-10  3.7053220961447245e-05
2.3600000000000900e+01  7.7292553095327693e-10  3.8229516834945598e-05
2.4000000000000998e+01  1.0542597480709670e-09  4.0814820181099692e-05
2.4400000000001000e+01  1.5280446881229775e-09  4.6133800716575178e-05
2.4800000000001098e+01  2.3592514089869928e-09  5.1435596363475555e-05
2.5200000000001101e+01  2.8064734706519412e-09  5.4776273021447449e-05
2.5600000000001199e+01  3.6719977192030449e-09  5.4786864312656114e-05
2.6000000000001300e+01  8.2865164295908956e-09  5.2007013915452366e-05
2.6400000000001299e+01  1.7055468160458077e-08  5.0616432661389962e-05
2.6800000000001400e+01  2.3334049368133682e-08  5.1714865255285064e-05
2.7200000000001499e+01  2.4643495782371604e-08  5.4789313098927576e-05
2.7600000000001501e+01  6.6857073300589389e-08  5.8325408962034906e-05
2.8000000000001599e+01  1.7463490564799058e-07  5.8781729899859654e-05
2.8400000000001601e+01  2.2357857746490668e-07  5.5968744738442306e-05
2.8800000000001699e+01  2.2098129436117039e-07  5.3689258543252671e-05
2.9200000000001801e+01  8.0441687045190804e-07  5.3384648901520281e-05
2.9600000000001799e+01  2.1823097118672334e-06  5.2654549657206246e-05
3.0000000000001901e+01  2.2455137437424565e-06  5.1054285379264798e-05
3.0400000000001999e+01  2.2795837094201023e-06  5.0521791220610433e-05
3.0800000000002001e+01  9.9664409069726267e-06  5.3546742968511141e-05
3.1200000000002099e+01  1.7939375296198150e-05  6.1536968643538970e-05
3.1600000000002101e+01  1.1725847686619234e-05  7.0806968597230633e-05
3.2000000000002203e+01  2.0830407100452411e-05  7.3842088403154984e-05
3.2400000000002102e+01  6.4263091099070376e-05  6.5751875813900367e-05
3.2800000000002001e+01  7.1460196593070162e-05  4.9777283423055541e-05
3.3200000000001999e+01  3.5906378052956363e-05  3.9790856397494481e-05
3.3600000000001899e+01  9.2593250808902942e-05  4.5571354467476673e-05
3.4000000000001798e+01  2.1882002714127317e-04  5.4483608414869395e-05
3.4400000000001697e+01  1.9260754222576276e-04  5.8220178436425901e-05
3.4800000000001603e+01  6.6863624785110326e-05  5.9168651355306626e-05
3.5200000000001602e+01  1.8254907384803183e-04  6.2852610021178212e-05
3.5600000000001501e+01  4.9172214069296476e-04  7.0143673050240238e-05
3.6000000000001400e+01  4.9317414852857093e-04  7.6647482887213790e-05
3.6400000000001299e+01  1.4850504985375218e-04  7.8156919268471513e-05
3.6800000000001198e+01  1.4982710485529231e-04  7.4369553017919807e-05
3.7200000000001197e+01  7.5270131045841802e-04  6.9607036746915460e-05
3.7600000000001103e+01  1.1014984755750748e-03  6.8178368279573514e-05
3.8000000000001002e+01  5.7677491923756687e-04  6.8391292234700675e-05
3.8400000000000901e+01  6.2811767111611123e-05  6.6982119337414574e-05
3.8800000000000800e+01  6.1209685837879634e-04  6.6002316274629068e-05
3.9200000000000799e+01  1.5138569555331904e-03  6.8651863557272474e-05
3.9600000000000698e+01  1.3336964472761988e-03  7.2170940348584612e-05
4.0000000000000597e+01  3.6100678934666575e-04  7.2621551232144167e-05
4.0400000000000503e+01  1.4216516977496235e-04  7.0022495564219816e-05
4.0800000000000502e+01  9.1199360500975719e-04  6.6475704722784512e-05
4.1200000000000401e+01  1.3631606465742763e-03  6.4123529536369963e-05
4.1600000000000300e+01  8.5110038713612896e-04  6.4318095216797083e-05
4.2000000000000199e+01  1.7826899806760782e-04  6.5586348412885950e-05
4.2400000000000098e+01  1.1803347921816412e-04  6.4561373096391056e-05
4.2800000000000097e+01  4.3123189924813821e-04  6.0314277882100941e-05
4.3200000000000003e+01  5.4524053470894846e-04  5.6193440385269107e-05
4.3599999999999902e+01  3.6282939655873838e-04  5.5592412896891291e-05
4.3999999999999801e+01  1.4343726038090906e-04  5.7327413930687878e-05
4.4399999999999700e+01  5.4930396855989888e-05  5.8696643081751711e-05
4.4799999999999699e+01  6.9475329655305516e-05  6.0468298872638739e-05
4.5199999999999598e+01  1.0278454312163894e-04  6.6263295453884705e-05
4.5599999999999497e+01  1.1656034763110418e-04  7.4029542167696066e-05
4.5999999999999403e+01  1.3004296059753861e-04  7.6035364766597664e-05
4.6399999999999302e+01  1.6728552354734687e-04  7.0684291838332732e-05
4.6799999999999301e+01  1.9532795703250500e-04  6.7006328393376892e-05
4.7199999999999200e+01  1.5578364416070033e-04  7.2809812861419451e-05
4.7599999999999099e+01  7.1951086183640739e-05  8.2118014054111230e-05
4.7999999999998998e+01  5.3220086547431340e-05  8.6683632328883167e-05
4.8399999999998897e+01  1.4905726709613047e-04  8.5907056565151518e-05
4.8799999999998903e+01  2.6399434386491141e-04  8.5894661773140316e-05
4.9199999999998802e+01  2.7227093631007371e-04  9.1328290056177350e-05
4.9599999999998701e+01  1.6652334841234771e-04  9.9097687966162151e-05
4.9999999999998600e+01  4.8710876777168175e-05  1.0557093833256414e-04
5.0399999999998499e+01  1.5567328829965321e-05  1.1163660867786177e-04
5.0799999999998498e+01  8.2955411407359061e-05  1.1570696152414883e-04
5.1199999999998397e+01  1.9058992630822748e-04  1.1161545255565347e-04
5.1599999999998303e+01  2.5620542497113892e-04  9.9024282200586405e-05
5.1999999999998202e+01  2.3363768476744698e-04  9.2554825979962305e-05
