# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  -3.8687453898251579e-04  -8.3753226174531736e-05  -8.1732240776990681e-05  -1.0584117659801268e-03  -5.1870274853924991e-04  4.2428291574628578e-06  6.0222360181801885e-05  8.4559535350104266e-04  1.5587728798491041e-03  7.5191875837889348e-05  -1.6063228643102174e-04  -7.3639365241576539e-08  3.3291844951626316e-06  4.1918780496187262e-06  9.5924536721837979e-05  1.1642665661364253e-07  2.8709808389356481e-06  -3.7518630719382800e-06  -1.6348370440010031e-04  6.1518838882871572e-07
4.0000000000000002e-01  7.3574791770347634e-05  -1.9556664021693022e-05  2.8037857868024410e-06  -6.3223593630804952e-04  -6.2600785599772977e-04  1.5705466201081455e-05  3.4200606119470198e-05  6.9961568515606676e-04  1.3899551334474690e-03  3.2460970774212059e-05  -8.5602550710380345e-05  -1.6525631961697229e-07  -1.6948811372031337e-06  4.1489061010237341e-06  7.5474702398660464e-05  -5.6957258456148955e-08  -1.6505540684067615e-06  -3.7216091351435330e-06  -9.4832757575914194e-05  1.6989685518677367e-08
8.0000000000000004e-01  -6.4344778254803571e-05  -5.7545623687144806e-06  -3.6838914127914073e-05  -6.0225297483772460e-04  -5.5186517687553301e-04  1.3270272375203804e-05  1.7908426993101486e-05  8.0785152365026784e-04  1.2725697609541568e-03  1.7059447560253402e-05  -7.4578158798363636e-05  -1.5032642195938956e-06  -2.0995451440705471e-06  6.8480935956413228e-06  7.4932276381751029e-05  6.9490697280304467e-08  1.0754928455933325e-06  -1.3782841986695353e-05  -9.6897183235817609e-05  1.3776963698595074e-06
1.2000000000000000e+00  1.8549537692784987e-04  -9.3241452403431676e-05  -1.1591913729974793e-04  -6.0712870256730183e-04  -6.8355722379343257e-04  -4.6091973830637725e-06  5.6168937700170924e-05  8.7458014419162806e-04  1.5483174967102090e-03  8.6183268404097394e-05  -6.8930317095645740e-05  -3.9659899683002408e-06  -4.9228411173430387e-06  1.6476036295984660e-05  7.9830929579257658e-05  -2.8928976386527037e-07  2.5903793225974081e-06  -3.0928677085647396e-05  -1.1914844396869665e-04  3.6548085777295861e-06
1.6000000000000001e+00  7.7193253979052057e-04  -1.2541290865844743e-04  -1.1949100489426022e-04  -4.7251998819247015e-04  -1.0162055350596381e-03  7.5872381515069721e-06  1.1146606639764317e-04  6.9631769817062516e-04  1.8763356134587688e-03  1.3012115319301117e-04  -4.9313573510510451e-05  -6.2714500226940302e-06  -8.5046093595721822e-06  3.1414831662999299e-05  7.0591346842990176e-05  -9.4426510735738031e-08  3.9997042868610798e-06  -4.5991610905398900e-05  -1.2812743808202152e-04  6.3029505785768554e-06
2.0000000000000000e+00  1.2684866400764598e-03  -7.6544757771028574e-05  -7.0668577090881208e-05  -2.6201126355257043e-04  -1.2146123013239141e-03  1.7679804082102244e-05  9.3139789031587887e-05  3.2797067516586583e-04  1.8330906303736757e-03  9.1843235489987544e-05  -8.3498238287313542e-06  -6.2337705647799199e-06  -8.5235757310435970e-06  3.9627446215590185e-05  4.2836493952317533e-05  2.1958393963113638e-06  5.8845321087885802e-06  -5.3469856950427244e-05  -1.0014715499349444e-04  8.1482028941733342e-06
2.3999999999999901e+00  1.3725409513502596e-03  -1.7218912730042344e-05  -1.6081042342866339e-05  -7.0476953999902981e-05  -1.0986342919135257e-03  8.8644159966924293e-06  3.4265618106111607e-05  -4.5063994706563752e-05  1.3742167561045895e-03  2.4144247333673559e-05  3.6438269975387409e-05  -6.7049804166078726e-06  -5.2292051236866200e-06  3.4120904655332564e-05  8.0244881391606062e-06  2.0932937416179588e-06  9.0595505727592442e-06  -5.2349992980583348e-05  -4.7493533205016809e-05  8.4379335727000799e-06
2.7999999999999798e+00  1.0090067259978209e-03  1.5247328787306069e-05  1.5964734077212555e-05  7.6851527749610872e-05  -6.6490200637972291e-04  -6.3392691086349882e-08  -1.1728088237942513e-05  -2.9531614159130184e-04  6.1961174899757452e-04  -1.7113855632725374e-05  6.2617758589879593e-05  -1.6045881517408239e-05  -9.5265340504692629e-06  2.5351071198928055e-05  -1.9860775159678351e-05  -5.6339931436801369e-06  1.6411082792204027e-05  -3.9796814460418077e-05  2.8707029574444762e-07  1.1529562453093582e-05
3.1999999999999802e+00  4.5841872746063675e-04  2.0590807902997466e-05  2.0564202734078489e-05  2.4637777890506820e-04  -9.7826666799579414e-05  -4.5548865376633513e-06  -2.6095438186474186e-05  -4.4496604899105523e-04  -2.3520464639582806e-04  -2.5436455505204592e-05  8.0222169505047658e-05  -3.3920814979820663e-05  -2.5268086314862636e-05  3.2301520528261324e-05  -4.2456493543980385e-05  -1.3044078438904403e-05  3.0454196766928780e-05  -2.4831497089958829e-05  2.8704516349488281e-05  2.3458804276187494e-05
3.5999999999999699e+00  1.3535701458941647e-04  2.4357868685266034e-05  2.0089767604556886e-05  3.9333702548332043e-04  2.7151907019185652e-04  3.5476395840641349e-07  -2.8583668868332039e-05  -5.4521857654912017e-04  -7.9629719015643916e-04  -2.4186328335151461e-05  1.3154250752376629e-04  -4.6908620213293618e-05  -4.2166141937439635e-05  5.3066372433186575e-05  -8.3924289672206555e-05  -8.8820795317456918e-06  4.4065915030050068e-05  -2.2727176072085285e-05  6.6329547157275795e-05  3.9560338205260585e-05
