# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  2.8450339930015087e+01  3.0106977761921262e-02  5.4278066306868906e+00  4.5479423884056996e-01  3.6000407129683381e+01  3.2000407254059326e+01  3.2000406897684066e+01  4.7999999999999998e+00  2.7401917257108543e+01  5.4422496010442938e+00  4.5195411892881676e-01  nan  nan  nan  nan  nan  1.0000000027957499e+00
8.0000000000000004e-01  2.9228572756901364e+01  3.0947560665165730e-02  5.4272855422925090e+00  4.5491911243863409e-01  3.6000388386689615e+01  3.2000389122844844e+01  3.2000389063177622e+01  4.7999999999999998e+00  2.8145333943143171e+01  5.4418648332929527e+00  4.5206899474261497e-01  nan  nan  nan  nan  nan  1.0005659772185926e+00
1.6000000000000001e+00  2.9673151682114408e+01  3.1421686565535012e-02  5.4272165010357245e+00  4.5493935400294494e-01  3.6000482936212457e+01  3.2000485134025759e+01  3.2000485540358575e+01  4.7999999999999998e+00  2.8556477196554976e+01  5.4422158667010292e+00  4.5201184274993411e-01  nan  nan  nan  nan  nan  1.0005604935873897e+00
2.3999999999999901e+00  2.8809663100948569e+01  3.0502758184706286e-02  5.4277585727379050e+00  4.5485785483121632e-01  3.6000604271099704e+01  3.2000608014762136e+01  3.2000608839658469e+01  4.7999999999999998e+00  2.7701989006015193e+01  5.4434000744742486e+00  4.5180330485086589e-01  nan  nan  nan  nan  nan  1.0004925662717952e+00
3.1999999999999802e+00  2.8695860027686475e+01  3.0415116368568564e-02  5.4276782891793482e+00  4.5488607093317240e-01  3.6000623577556567e+01  3.2000628541608748e+01  3.2000629825861445e+01  4.7999999999999998e+00  2.7565905834906868e+01  5.4440186288830761e+00  4.5169475600934766e-01  nan  nan  nan  nan  nan  1.0004785479031257e+00
3.9999999999999600e+00  2.9650736916307757e+01  3.1485980482831404e-02  5.4273246112319420e+00  4.5492349855207204e-01  3.6000962443487445e+01  3.2000968843406689e+01  3.2000970626615114e+01  4.7999999999999998e+00  2.8455877645173732e+01  5.4442265433777823e+00  4.5164122134072127e-01  nan  nan  nan  nan  nan  1.0005068524257894e+00
4.7999999999999403e+00  2.9468086892627895e+01  3.1176518962830510e-02  5.4274359619892625e+00  4.5481371769617390e-01  3.6001529068026578e+01  3.2001536945798044e+01  3.2001539061499187e+01  4.7999999999999998e+00  2.8256400091556344e+01  5.4446281370178502e+00  4.5150851622203680e-01  nan  nan  nan  nan  nan  1.0004964199339550e+00
5.5999999999999304e+00  2.8608272361029240e+01  3.0273656561440977e-02  5.4279956938762552e+00  4.5455970627556808e-01  3.6001944201005102e+01  3.2001953647202093e+01  3.2001955982615932e+01  4.7999999999999998e+00  2.7412954578892169e+01  5.4451659267000085e+00  4.5130201237270828e-01  nan  nan  nan  nan  nan  1.0005002276096897e+00
6.3999999999999098e+00  2.9191758696055871e+01  3.0951135727962556e-02  5.4292359331948719e+00  4.5417149901918702e-01  3.6002375884870958e+01  3.2002385727007962e+01  3.2002388401595937e+01  4.7999999999999998e+00  2.7958027788335031e+01  5.4461340640238136e+00  4.5102206016082158e-01  nan  nan  nan  nan  nan  1.0005500304224226e+00
7.1999999999998900e+00  2.9875622418265156e+01  3.1651787442677916e-02  5.4315359111012711e+00  4.5361975981951308e-01  3.6003322971127545e+01  3.2003330564445150e+01  3.2003333166923092e+01  4.7999999999999998e+00  2.8603801178874573e+01  5.4480757515489113e+00  4.5061310780274799e-01  nan  nan  nan  nan  nan  1.0006093145271111e+00
