# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0160420898243874e+00  1.0102415676470595e+00  1.0287270223100173e+00  1.0095201422268709e+00  1.0064275288194373e+00  1.0187983335145367e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0070200312933548e+00  1.0052157397152546e+00  1.0103385419752702e+00  1.0047826005101870e+00  1.0038283703542914e+00  1.0064985311818131e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0160596798174737e+00  1.0102172986714808e+00  1.0288439795193201e+00  1.0094354513109209e+00  1.0064122992050477e+00  1.0184662970725897e+00  8.7036583208497837e-05  -1.7455561095302310e-04  8.1701484750864445e-04  1.0070163966136865e+00  1.0052010139303988e+00  1.0103825521403005e+00  1.0047803513320324e+00  1.0038207345909673e+00  1.0065158614968466e+00  5.2192989113465289e-06  -5.5876655543155178e-05  5.3746131939765737e-05
1.6000000000000001e+00  1.0161457486484615e+00  1.0102188962671257e+00  1.0292837015769845e+00  1.0091748732748687e+00  1.0064041823211602e+00  1.0172620245960424e+00  2.1382622391772862e-04  -9.9840942031690955e-05  1.3495041020063340e-03  1.0070185787379655e+00  1.0052060429893788e+00  1.0103909706799876e+00  1.0047786261297109e+00  1.0038199218640136e+00  1.0065097391253610e+00  4.0066280763634454e-06  -2.1885902818669797e-05  2.9594327066702228e-05
2.3999999999999901e+00  1.0163100219715357e+00  1.0102113039394094e+00  1.0300373430279512e+00  1.0087060314242005e+00  1.0064136110937105e+00  1.0150039636458859e+00  3.6295343346294057e-04  -4.2212550375865347e-05  1.6547436279824325e-03  1.0070208736063946e+00  1.0052086579539656e+00  1.0103895605276905e+00  1.0047752326472892e+00  1.0038192596624005e+00  1.0065133370904003e+00  4.7945761219450515e-06  -1.3019274945512035e-05  2.7377074851462267e-05
3.1999999999999802e+00  1.0165557347247587e+00  1.0102106061155853e+00  1.0308381357784002e+00  1.0079994854659207e+00  1.0064248192103018e+00  1.0123867676549105e+00  5.0897353581592464e-04  2.4895652602459733e-06  1.6985136094807246e-03  1.0070233753092783e+00  1.0052107439383753e+00  1.0103959984360438e+00  1.0047704094579228e+00  1.0038179915815593e+00  1.0065058641781162e+00  4.7356743944002988e-06  -2.7661412093419638e-05  2.7509443885429742e-05
3.9999999999999600e+00  1.0168620131630361e+00  1.0102382940325436e+00  1.0315402236968443e+00  1.0070837296498065e+00  1.0063778980610163e+00  1.0100505203011942e+00  6.3146313223391085e-04  2.2986715026848890e-05  1.4520855915105143e-03  1.0070263411876748e+00  1.0052125596801640e+00  1.0104529265204854e+00  1.0047641823350804e+00  1.0038163658080836e+00  1.0063991316495084e+00  7.3876638307444970e-06  -2.6901508660329462e-05  1.4783280994488257e-04
4.7999999999999403e+00  1.0172086194919132e+00  1.0103438483984262e+00  1.0322362711644053e+00  1.0060083255201537e+00  1.0051367414611798e+00  1.0080694960460792e+00  7.1136240653095928e-04  1.6669249620747506e-04  1.1576440913865838e-03  1.0070350134515462e+00  1.0052131982172172e+00  1.0106367269851675e+00  1.0047465510049580e+00  1.0038157269534091e+00  1.0060706508465647e+00  2.0407439330342901e-05  -2.0679688387457287e-05  3.4037369675596677e-04
5.5999999999999304e+00  1.0175606434820819e+00  1.0105975137632612e+00  1.0328865991076324e+00  1.0048623419457996e+00  1.0038587536408645e+00  1.0067356445072584e+00  7.2882052955147172e-04  -1.9966758603937490e-04  1.0984616919623776e-03  1.0070590203515799e+00  1.0052139252606882e+00  1.0108764874156608e+00  1.0046952697290998e+00  1.0038135229056080e+00  1.0056539096683792e+00  4.8065440710802129e-05  -1.9661199840950059e-05  4.2892511111510299e-04
6.3999999999999098e+00  1.0178854794042289e+00  1.0108909850414483e+00  1.0332585641730450e+00  1.0037429143641603e+00  1.0026372928193124e+00  1.0061473891256865e+00  6.8860835550850681e-04  -6.2175718286990663e-04  1.0811516716739778e-03  1.0071037201804955e+00  1.0052202236978740e+00  1.0111275473389629e+00  1.0045921262320563e+00  1.0038053733280980e+00  1.0052365403644266e+00  8.5885302488553393e-05  -2.1266571722584374e-05  5.2181140930814603e-04
7.1999999999998900e+00  1.0181544066399688e+00  1.0111919665996743e+00  1.0332879114669558e+00  1.0027430192078777e+00  1.0015185723684339e+00  1.0068317809019227e+00  5.8930985892739545e-04  -1.0910125336227553e-03  1.0325814879896494e-03  1.0071785631079022e+00  1.0052217537610451e+00  1.0114093602731640e+00  1.0044119028512690e+00  1.0037623965311724e+00  1.0048454972733121e+00  1.4615856188097452e-04  -1.3124009171799762e-05  6.1000031390280509e-04
