t ham mom
0.0100 8.071372e-04 3.109488e-05
0.1600 1.880547e-03 2.775607e-04
0.3100 2.029153e-03 3.240957e-04
0.4600 1.695622e-03 2.792861e-04
0.6100 1.427405e-03 2.136713e-04
0.7600 1.331483e-03 1.884788e-04
0.9100 1.347670e-03 2.153898e-04
1.0600 1.418956e-03 2.622428e-04
1.2100 1.528828e-03 3.060667e-04
1.3600 1.673137e-03 3.415413e-04
1.5100 1.841593e-03 3.645052e-04
1.6600 2.019361e-03 3.762693e-04
1.8100 2.194290e-03 3.794777e-04
1.9600 2.358805e-03 3.767515e-04
2.1100 2.509794e-03 3.700150e-04
2.2600 2.647037e-03 3.609710e-04
2.4100 2.771254e-03 3.509874e-04
2.5600 2.884091e-03 3.407966e-04
2.7100 2.986899e-03 3.309639e-04
2.8600 3.081089e-03 3.218175e-04
3.0100 3.168002e-03 3.135474e-04
3.1600 3.248874e-03 3.062992e-04
3.3100 3.324969e-03 3.000566e-04
3.4600 3.397350e-03 2.947431e-04
3.6100 3.466895e-03 2.902747e-04
3.7600 3.534229e-03 2.865154e-04
3.9100 3.599665e-03 2.833651e-04
4.0600 3.635984e-03 2.693499e-04
4.2100 3.405241e-03 2.440671e-04
4.3600 3.091798e-03 2.337419e-04
4.5100 2.856977e-03 2.418066e-04
4.6600 2.686951e-03 2.590172e-04
4.8100 2.538738e-03 2.756794e-04
4.9600 2.393782e-03 2.877463e-04
5.1100 2.254281e-03 2.947402e-04
5.2600 2.134394e-03 2.971901e-04
5.4100 2.051800e-03 2.952350e-04
5.5600 2.012577e-03 2.885467e-04
5.7100 1.991799e-03 2.773022e-04
5.8600 1.940505e-03 2.632535e-04
6.0100 1.835550e-03 2.494193e-04
6.1600 1.716319e-03 2.382492e-04
6.3100 1.648778e-03 2.300929e-04
6.4600 1.661799e-03 2.238567e-04
6.6100 1.735441e-03 2.184883e-04
6.7600 1.833522e-03 2.134040e-04
6.9100 1.928485e-03 2.087256e-04
7.0600 2.004781e-03 2.047289e-04
7.2100 2.055171e-03 2.017841e-04
7.3600 2.077179e-03 1.999395e-04
7.5100 2.071152e-03 1.993978e-04
7.6600 2.039615e-03 1.998913e-04
7.8100 1.986989e-03 2.011979e-04
7.9600 1.920137e-03 2.031246e-04
8.1100 1.848548e-03 2.052199e-04
8.2600 1.782488e-03 2.074946e-04
8.4100 1.730867e-03 2.100446e-04
8.5600 1.699339e-03 2.129581e-04
8.7100 1.688409e-03 2.163894e-04
8.8600 1.694050e-03 2.202513e-04
9.0100 1.710840e-03 2.244096e-04
9.1600 1.734056e-03 2.287606e-04
9.3100 1.759192e-03 2.331769e-04
9.4600 1.781172e-03 2.376449e-04
9.6100 1.795366e-03 2.421650e-04
9.7600 1.798763e-03 2.467518e-04
9.9100 1.790372e-03 2.514298e-04
10.0600 1.771515e-03 2.562169e-04
10.2100 1.745884e-03 2.610865e-04
10.3600 1.719006e-03 2.660329e-04
10.5100 1.697132e-03 2.710502e-04
10.6600 1.686039e-03 2.761438e-04
10.8100 1.689153e-03 2.812954e-04
10.9600 1.704820e-03 2.864371e-04
11.1100 1.726917e-03 2.915890e-04
11.2600 1.749210e-03 2.966603e-04
11.4100 1.768124e-03 3.016287e-04
11.5600 1.782183e-03 3.065349e-04
11.7100 1.790805e-03 3.114040e-04
11.8600 1.794266e-03 3.162117e-04
12.0100 1.793874e-03 3.210243e-04
12.1600 1.792075e-03 3.258166e-04
12.3100 1.791674e-03 3.305241e-04
12.4600 1.795260e-03 3.351312e-04
12.6100 1.804645e-03 3.396182e-04
12.7600 1.820022e-03 3.440298e-04
12.9100 1.840085e-03 3.483919e-04
13.0600 1.862564e-03 3.526283e-04
13.2100 1.885343e-03 3.567310e-04
13.3600 1.907392e-03 3.606798e-04
13.5100 1.928859e-03 3.644591e-04
13.6600 1.950565e-03 3.680639e-04
13.8100 1.973465e-03 3.714755e-04
13.9600 1.998409e-03 3.747329e-04
14.1100 2.026121e-03 3.778555e-04
14.2600 2.057314e-03 3.808759e-04
14.4100 2.092880e-03 3.838328e-04
14.5600 2.133761e-03 3.867572e-04
14.7100 2.180738e-03 3.896865e-04
14.8600 2.233929e-03 3.926722e-04
15.0100 2.292349e-03 3.957714e-04
15.1600 2.353941e-03 3.989958e-04
15.3100 2.416053e-03 4.023274e-04
15.4600 2.476164e-03 4.057779e-04
15.6100 2.532583e-03 4.093091e-04
15.7600 2.584724e-03 4.128910e-04
15.9100 2.633100e-03 4.165053e-04
16.0600 2.679006e-03 4.201459e-04
16.2100 2.723988e-03 4.238479e-04
16.3600 2.769341e-03 4.276256e-04
16.5100 2.815767e-03 4.315009e-04
16.6600 2.863549e-03 4.355601e-04
16.8100 2.912288e-03 4.398513e-04
16.9600 2.961371e-03 4.444287e-04
17.1100 3.010268e-03 4.493334e-04
17.2600 3.058747e-03 4.546164e-04
17.4100 3.106944e-03 4.603032e-04
17.5600 3.155347e-03 4.664202e-04
