# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  4.9993409248300175e-01  2.4609375000000000e-01
5.0000000000000001e-03  4.9994213303388768e-01  2.4609375000000000e-01
1.0000000000000000e-02  4.9996614347696910e-01  2.4609375000000000e-01
1.4999999999999999e-02  5.0000565788838502e-01  2.4609375000000000e-01
2.0000000000000000e-02  5.0006014548828814e-01  2.4609375000000000e-01
2.5000000000000001e-02  5.0012901181124947e-01  2.4609375000000000e-01
2.9999999999999999e-02  5.0021160024712319e-01  2.4609375000000000e-01
3.5000000000000003e-02  5.0030719394972167e-01  2.4609375000000000e-01
4.0000000000000001e-02  5.0041501810981226e-01  2.4609375000000000e-01
4.4999999999999998e-02  5.0053424258752244e-01  2.4609375000000000e-01
5.0000000000000003e-02  5.0066398489717623e-01  2.4609375000000000e-01
5.5000000000000000e-02  5.0080331353483332e-01  2.4609375000000000e-01
5.9999999999999998e-02  5.0095125163539145e-01  2.4609375000000000e-01
6.5000000000000002e-02  5.0110678094204708e-01  2.4609375000000000e-01
7.0000000000000007e-02  5.0126884606630406e-01  2.4609375000000000e-01
7.4999999999999997e-02  5.0143635901167238e-01  2.4609375000000000e-01
8.0000000000000002e-02  5.0160820392888861e-01  2.4609375000000000e-01
8.5000000000000006e-02  5.0178324206510616e-01  2.4609375000000000e-01
8.9999999999999997e-02  5.0196031686425568e-01  2.4609375000000000e-01
9.5000000000000001e-02  5.0213825917092603e-01  2.4609375000000000e-01
1.0000000000000001e-01  5.0231589248621822e-01  2.4609375000000000e-01
1.0500000000000000e-01  5.0249203822088395e-01  2.4609375000000000e-01
1.1000000000000000e-01  5.0266552088766958e-01  2.4609375000000000e-01
1.1500000000000000e-01  5.0283517317378834e-01  2.4609375000000000e-01
1.2000000000000000e-01  5.0299984084116667e-01  2.4609375000000000e-01
1.2500000000000000e-01  5.0315838740883700e-01  2.4609375000000000e-01
1.3000000000000000e-01  5.0330969855907004e-01  2.4609375000000000e-01
1.3500000000000001e-01  5.0345268618963757e-01  2.4609375000000000e-01
1.4000000000000001e-01  5.0358629206941419e-01  2.4609375000000000e-01
1.4499999999999999e-01  5.0370949115491737e-01  2.4609375000000000e-01
1.4999999999999999e-01  5.0382129466131442e-01  2.4609375000000000e-01
1.5500000000000000e-01  5.0392075280985327e-01  2.4609375000000000e-01
1.6000000000000000e-01  5.0400695691875708e-01  2.4609375000000000e-01
1.6500000000000001e-01  5.0407904056866915e-01  2.4609375000000000e-01
1.7000000000000001e-01  5.0413618016748851e-01  2.4609375000000000e-01
1.7499999999999999e-01  5.0417759590195810e-01  2.4609375000000000e-01
1.7999999999999999e-01  5.0420255390039781e-01  2.4609375000000000e-01
1.8500000000000000e-01  5.0421036908943095e-01  2.4609375000000000e-01
1.9000000000000000e-01  5.0420040663484300e-01  2.4609375000000000e-01
1.9500000000000001e-01  5.0417207971783695e-01  2.4609375000000000e-01
